date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:10:28	17995/17995	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:08:20%20GMT	https://preview.colorlib.com/theme/covid/index.html	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/index.html	(from )
08:10:29	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
08:10:31	79820/79820	---M-Z	200	added ('OK')	text/css	etag:%22137cc-5ad82cc919540-gzip%22	https://preview.colorlib.com/theme/covid/fonts/icomoon/style.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/fonts/icomoon/style.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:31	37116/37116	---M-Z	200	added ('OK')	text/css	etag:%2290fc-5c1f9b4694353-gzip%22	https://preview.colorlib.com/theme/covid/css/bootstrap.min.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:33	6100/6100	---M-Z	200	added ('OK')	text/css	etag:%2217d4-5c1f9b4694353-gzip%22	https://preview.colorlib.com/theme/covid/css/jquery-ui.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/jquery-ui.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:34	2888/2888	---M-Z	200	added ('OK')	text/css	etag:%22b48-5c1f9b46952f3-gzip%22	https://preview.colorlib.com/theme/covid/css/owl.carousel.min.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:35	89/89	---M-Z	200	added ('OK')	text/css	etag:%2259-5c1f9b46952f3-gzip%22	https://preview.colorlib.com/theme/covid/css/owl.theme.default.min.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:36	9369/9369	---M-Z	200	added ('OK')	text/css	etag:%222499-5c1f9b4694353-gzip%22	https://preview.colorlib.com/theme/covid/css/jquery.fancybox.min.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/jquery.fancybox.min.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:36	16866/16866	---M-Z	200	added ('OK')	text/css	etag:%2241e2-5c1f9b4694353-gzip%22	https://preview.colorlib.com/theme/covid/css/bootstrap-datepicker.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/bootstrap-datepicker.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:37	1289/1289	---M-Z	200	added ('OK')	text/css	etag:%22509-5ad82cf21b600-gzip%22	https://preview.colorlib.com/theme/covid/fonts/flaticon/font/flaticon.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/fonts/flaticon/font/flaticon.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:39	1525/1525	---M-Z	200	added ('OK')	text/css	etag:%225f5-5ad82cfc98ec0-gzip%22	https://preview.colorlib.com/theme/covid/fonts/flaticon-covid/font/flaticon.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/fonts/flaticon-covid/font/flaticon.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:39	8783/8783	---M-Z	200	added ('OK')	text/css	etag:%22224f-5c1f9b4694353-gzip%22	https://preview.colorlib.com/theme/covid/css/aos.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/aos.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:41	28289/28289	---M-Z	200	added ('OK')	text/css	etag:%226e81-5c1f9b46952f3-gzip%22	https://preview.colorlib.com/theme/covid/css/style.css	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/css/style.css	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:41	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sat,%2021%20Oct%202023%2002:40:41%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:42	13653/13653	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:08:21%20GMT	https://preview.colorlib.com/theme/covid/prevention.html	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/prevention.html	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:43	11631/11631	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:08:22%20GMT	https://preview.colorlib.com/theme/covid/symptoms.html	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/symptoms.html	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:45	13154/13154	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:08:17%20GMT	https://preview.colorlib.com/theme/covid/about.html	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/about.html	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:46	11410/11410	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:08:18%20GMT	https://preview.colorlib.com/theme/covid/blog.html	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/blog.html	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:47	10009/10009	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2003:08:18%20GMT	https://preview.colorlib.com/theme/covid/Survey.html	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/Survey.html	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:48	142394/142394	---M--	200	added ('OK')	image/png	etag:%2222c3a-5ad82c9a5e700%22	https://preview.colorlib.com/theme/covid/images/illustration.png	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/images/illustration.png	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:50	633392/633392	---M--	200	added ('OK')	image/jpeg	etag:%229aa30-5ad82c9b52940%22	https://preview.colorlib.com/theme/covid/images/hero_1.jpg	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/images/hero_1.jpg	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:51	74017/74017	---M--	200	added ('OK')	image/png	etag:%2212121-5ad82c9e2f000%22	https://preview.colorlib.com/theme/covid/images/protect.png	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/images/protect.png	(from https://preview.colorlib.com/theme/covid/index.html)
08:10:52	14880/14880	---M--	200	added ('OK')	image/png	etag:%223a20-5ad82c9f23240%22	https://preview.colorlib.com/theme/covid/images/symptom_high-fever.png	F:/Major%20Projects/Covid%20Template/preview.colorlib.com/theme/covid/images/symptom_high-fever.png	(from https://preview.colorlib.com/theme/covid/index.html)
